gene_name	log2FoldChange	pvalue	padj
AKR1B1P3	-0,482354211	0,937280319	1
AKR1C1	-0,506086627	0,016103211	1
AKR1C2	-0,343129362	0,133646508	1
AKR1C3	0,267473824	0,526247863	1
AKR1C4	3,744142567	0,525004666	1
AKR1C5P	-0,675054467	0,913640007	1
AKR1C7P	1,2092467	0,845775239	1
AKR1C8P	0,20708003	0,961737729	1
AKR1D1	-0,626902726	0,876995737	1
AKR1E2	-0,731752817	0,376788057	1
AKR7A2	-0,104854813	0,552273721	1
AKR7A2P1	0	1	1
AKR7A3	0,475112306	0,541979041	1
AKR7L	0,797468993	0,203725702	1
AKT1	0,028720196	0,818252651	1
AKT1S1	0,065138102	0,736914403	1
AKT2	0,154706215	0,265383193	1
AKT3	0,117791017	0,491392174	1
AKT3-IT1	2,255271238	0,715682174	1
AKTIP	-0,258292822	0,177765733	1
ALAD	0,11646428	0,541005277	1
ALAS1	-0,012204055	0,942898409	1
ALAS2	0	1	1
ALB	0,274522256	0,855128747	1
ALCAM	-0,173079873	0,366822806	1
ALDH16A1	-0,014235214	0,952594601	1
ALDH18A1	0,061590726	0,642983201	1
ALDH1A1	0,298782383	0,701364503	1
ALDH1A2	0,31315027	0,169647114	1
ALDH1A2-AS1	0	1	1
ALDH1A3	0,111468593	0,641678111	1
ALDH1A3-AS1	-0,469755631	0,514186832	1
ALDH1B1	-0,045620052	0,81885881	1
ALDH1L1	1,474977105	0,222933576	1
ALDH1L1-AS2	0,731873172	0,905626195	1
ALDH1L2	0,082327783	0,703346903	1
ALDH2	-0,130334697	0,371401598	1
ALDH3A1	-2,452336587	0,352087481	1
ALDH3A2	-0,121986222	0,435395166	1
ALDH3B1	-0,702650825	0,097129207	1
ALDH4A1	-0,026222172	0,889483397	1
ALDH5A1	-0,109518864	0,594046505	1
ALDH6A1	-0,074228422	0,70162604	1
ALDH7A1	-0,159430174	0,230435971	1
ALDH7A1P1	-0,573182659	0,925989371	1
ALDH7A1P4	1,635463247	0,791919667	1
ALDH8A1	0,612117298	0,512101632	1
ALDH9A1	-0,261723496	0,071638272	1
ALDOA	0,12646381	0,455717106	1
ALDOB	0,568170037	0,926345128	1
ALDOC	-0,497306512	0,16187901	1
ALG1	-0,270778586	0,189989981	1
ALG10	0,122615257	0,70230943	1
ALG10B	-0,114212998	0,622707293	1
ALG11	0,246123061	0,281587904	1
ALG12	0,179986481	0,375227385	1
ALG13	0,063435588	0,700397526	1
ALG14	0,033169509	0,915600249	1
